Station ID,Name,latitude,longitude,Bikes,Total bike slots
7557892fad2c965c62483fd1184096fd,"003463 - Argyll Road, Kensington",51.50040123,-0.195455928,13,6
4a5e3fb94e4c3a95a10da349093a715e,"003477 - Porchester Place, Paddington",51.5147461,-0.1651640000000043,0,18
1937b785eb3b88881c353b4b0285849b,"003459 - Collingham Gardens, Earl's Court",51.4916156,-0.186753859,0,13
51acbe456158a598628a833232e6e2a2,"001124 - Sumner Place, South Kensington",51.49121192,-0.173715911,8,10
472240b0886fa0cc682fd7786ca41e8d,"003460 - Warwick Square, Pimlico",51.48985626,-0.141923621,9,10
01995d3d3cff733f43d7809d397b3a7e,"001126 - North Audley Street, Mayfair",51.5129118,-0.153645496,11,6
c05f04b34ae586704595eabcff60a4b6,"003473 - Belgrave Square, Belgravia",51.49941247,-0.152317537,1,20
cb8d64ceca4f008983502256de21105b,"001167 - South Wharf Road, Paddington",51.51733558,-0.175810943,0,12
af6e4ecfa983d291fcff608792659dbf,"001112 - Nutford Place, Marylebone",51.5165179,-0.164393768,2,16
f8dfc16e9f34e5c21bfc24efe8831549,"000960 - Hop Exchange, The Borough",51.50462759,-0.091773776,41,11
c7c51ba2cbfd810b0f5b0d89f4349ff0,"001080 - Great Tower Street, Monument",51.51048489,-0.082989638,17,7
551cc979f64f7c74c95478f4ea2b59b0,"001102 - Leman Street, Aldgate",51.51236389,-0.06954201,2,34
558771e0ea7e67e8c6ca061364fcad88,"001040 - West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,12,2
ef8de55fa4b4d20044bf7ebd22e82f1a,"003468 - Margery Street, Clerkenwell",51.52659961,-0.112432615,0,18
e0bd52c7b3db937a18db01cbf8f3ae6c,"003476 - Hinde Street, Marylebone",51.51681444,-0.151926305,13,7
e9ab8c33c1f3332a109135bb8f4958bf,"001079 - Endsleigh Gardens, Euston",51.52683806,-0.130504336,1,31
98f517ce692ad8848d7a957cfc44d402,"001092 - Moorfields, Moorgate",51.51906932,-0.088285377,32,21
44ff26b437e830b5b869ac206ef62434,"003479 - Old Brompton Road, South Kensington",51.49094565,-0.181190899,11,19
b33f0ba98da0a91add5a15cb71e6285e,"003486 - St. Luke's Church, Chelsea",51.48971651,-0.170194408,16,4
c372997154f979a7f79fbf335ba008f2,"003481 - Rodney Road , Walworth",51.49148474,-0.090220911,15,8
6c7376417da7dc3ff83663054b240c04,"001150 - Queensway, Kensington Gardens",51.51031,-0.18740235,9,8
7b420d2107097aa229db5cc94bfe1e3c,"003470 - Great Percy Street, Clerkenwell",51.52891573,-0.115480888,0,23
36357d1b79aad476e8f97e70dde9f83c,"001154 - Kennington Road  , Vauxhall",51.49571828,-0.110889274,31,5
6754a242a6750e1897f6ad108a29881f,"003483 - Fashion Street, Whitechapel",51.51838043,-0.073438925,6,24
