Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
Sherman at Barton - ERI02,43.25632467316046,-79.83628392219543,,,,,,,7.0
Barton at Lottridge - ERI03,43.2552894386678,-79.83144521713257,,,,,,,5.0
Corktown Park,43.2492552510953,-79.8641461491451,,,,,,,7.0
Hunter at Ferguson,43.251798383773966,-79.86318781971931,,,,,,,2.0
Athletic Centre Bike Racks,43.26471509784132,-79.91574570536613,,,,,,,19.0
Main and Wellington,43.25281814686537,-79.86008584499359,,,,,,,6.0
McMaster Student Centre,43.26274333966465,-79.91714715957642,,,,,,,30.0
George Street,43.25851444036409,-79.87894982099533,,,,,,,5.0
Hughson at Picton,43.2701169222876,-79.861626657542,,,,,,,10.0
Discovery Drive,43.27606684636728,-79.86029773950577,,,,,,,22.0
Ainslie at Emerson,43.2495181157076,-79.9234422627427,,,,,,,0.0
Catharine at Forest,43.2496648107707,-79.8677950761702,,,,,,,7.0
Main at Macnab,43.25586951986928,-79.87145036458969,,,,,,,9.0
Eastwood Arena,43.271621271914,-79.856711442486,,,,,,,10.0
Hunter at Park,43.2543192007999,-79.8733946157064,,,,,,,9.0
Aberdeen at Studholme,43.2526283084979,-79.899692892407,,,,,,,0.0
Ferguson at Barton,43.262056982995,-79.8582423171631,,,,,,,7.0
Ferrie at Ferguson,43.266617945064255,-79.85489845275879,,,,,,,4.0
Belview at Cannon - ERI12,43.24892849906615,-79.82342541217804,,,,,,,5.0
Tisdale at Main,43.25191559879094,-79.85307991504669,,,,,,,2.0
Maple at Rothsay - ERI08,43.24216273334376,-79.8250025510788,,,,,,,7.0
Queen at George,43.25812181171754,-79.8793575167656,,,,,,,5.0
Augusta at John,43.25163232878042,-79.86898005008698,,,,,,,6.0
Ottawa at Dunsmure - ERI07,43.2444465978823,-79.81923043727875,,,,,,,3.0
Cootes at York and King,43.26558132306987,-79.94965553283691,,,,,,,12.0
James at Vine,43.25971184443275,-79.86767515540123,,,,,,,8.0
Charlton at Locke,43.25332704523968,-79.886634349823,,,,,,,5.0
Locke at Herkimer,43.25249971692893,-79.88658607006073,,,,,,,2.0
King William at Hughson,43.2569048421661,-79.86643463373184,,,,,,,1.0
Barton at Wentworth,43.25893246012055,-79.8449581861496,,,,,,,9.0
Charlton at Queen,43.25200741706332,-79.88158643245697,,,,,,,0.0
Duke at James,43.25163037518954,-79.87135380506516,,,,,,,3.0
Beasley Park,43.25891916811838,-79.86106485128403,,,,,,,6.0
John near King,43.25652795268133,-79.86623145639896,,,,,,,4.0
Locke at Hunter,43.256556155396176,-79.88510146737099,,,,,,,6.0
King at Barnesdale,43.25124627968789,-79.83547054231167,,,,,,,6.0
King at Sherman,43.2513467527978,-79.83823858201504,,,,,,,4.0
King at Sanford,43.251884127702,-79.84635829925537,,,,,,,7.0
Bay at York,43.25906138152248,-79.87338691949844,,,,,,,19.0
Jackson Square,43.25693469264953,-79.86957684159279,,,,,,,8.0
Cannon at Steven,43.25646071175471,-79.84998129308224,,,,,,,8.0
Pier 4,43.27260051521549,-79.86689731478691,,,,,,,23.0
Ferguson at King,43.25400491861888,-79.86223563551903,,,,,,,7.0
Durand Park,43.24978615747242,-79.87574994564056,,,,,,,10.0
Cannon at East,43.25729552525069,-79.85334813594818,,,,,,,4.0
Strachan at Mary,43.265938747249415,-79.86042380332947,,,,,,,5.0
West Harbour GO Station,43.26624929442286,-79.86611008644103,,,,,,,7.0
James at Guise,43.27365898786445,-79.86182928085327,,,,,,,8.0
RBG Rock Garden,43.289479198281,-79.89169299602507,,,,,,,14.0
Pier 8,43.27528883070137,-79.85690742731094,,,,,,,12.0
Westinghouse at Barton - ERI13,43.25831920066756,-79.84240606427193,,,,,,,12.0
James at Colbourne,43.2637774120007,-79.8660421593136,,,,,,,12.0
Main at Longwood,43.25960441109783,-79.90210264921188,,,,,,,5.0
Van Wagner's Beach,43.26000777328068,-79.7663875669241,,,,,,,8.0
King William at James,43.25763541749527,-79.86848652362822,,,,,,,2.0
Westdale Aviary,43.26486897083389,-79.90748047828674,,,,,,,0.0
Hunter GO Centre,43.25332997554428,-79.86953258514404,,,,,,,11.0
Westdale Village,43.26201477888108,-79.90508794784544,,,,,,,6.0
