Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
Eastwood Arena,43.27162127,-79.85671144,,,,,,,10
Hunter at Park,43.2543192,-79.87339462,,,,,,,9
Aberdeen at Studholme,43.25262831,-79.89969289,,,,,,,0
Ferguson at Barton,43.26205698,-79.85824232,,,,,,,7
Ferrie at Ferguson,43.266617945064255,-79.85489845,,,,,,,4
Belview at Cannon - ERI12,43.24892849906615,-79.82342541,,,,,,,5
Tisdale at Main,43.25191559879094,-79.85307992,,,,,,,2
Maple at Rothsay - ERI08,43.24216273334376,-79.82500255,,,,,,,7
Queen at George,43.25812181171754,-79.87935752,,,,,,,5
Augusta at John,43.25163232878042,-79.86898005,,,,,,,6
Ottawa at Dunsmure - ERI07,43.2444466,-79.81923044,,,,,,,3
Cootes at York and King,43.26558132306987,-79.94965553,,,,,,,12
James at Vine,43.25971184443275,-79.86767516,,,,,,,8
Charlton at Locke,43.25332704523968,-79.88663435,,,,,,,5
Locke at Herkimer,43.25249971692893,-79.88658607,,,,,,,2
King William at Hughson,43.25690484,-79.86643463,,,,,,,1
Barton at Wentworth,43.25893246012055,-79.84495819,,,,,,,9
Charlton at Queen,43.25200741706332,-79.88158643,,,,,,,0
Duke at James,43.25163037518954,-79.87135381,,,,,,,3
Beasley Park,43.25891916811838,-79.86106485,,,,,,,6
John near King,43.25652795268133,-79.86623146,,,,,,,4
Locke at Hunter,43.256556155396176,-79.88510147,,,,,,,6
King at Barnesdale,43.25124627968789,-79.83547054,,,,,,,6
King at Sherman,43.25134675,-79.83823858,,,,,,,4
King at Sanford,43.25188413,-79.8463583,,,,,,,7
Bay at York,43.25906138152248,-79.87338692,,,,,,,19
Jackson Square,43.25693469264953,-79.86957684,,,,,,,8
Cannon at Steven,43.25646071175471,-79.84998129,,,,,,,8
Pier 4,43.27260051521549,-79.86689731,,,,,,,23
Ferguson at King,43.25400491861888,-79.86223564,,,,,,,7
Durand Park,43.24978615747242,-79.87574995,,,,,,,10
Cannon at East,43.25729552525069,-79.85334814,,,,,,,4
Strachan at Mary,43.265938747249415,-79.8604238,,,,,,,5
West Harbour GO Station,43.26624929442286,-79.86611009,,,,,,,7
James at Guise,43.27365898786445,-79.86182928,,,,,,,8
RBG Rock Garden,43.2894792,-79.891693,,,,,,,14
Pier 8,43.27528883070137,-79.85690743,,,,,,,12
Westinghouse at Barton - ERI13,43.25831920066756,-79.84240606,,,,,,,12
James at Colbourne,43.26377741,-79.86604216,,,,,,,12
Main at Longwood,43.25960441109783,-79.90210265,,,,,,,5
Van Wagner's Beach,43.26000777328068,-79.76638757,,,,,,,8
