Yelp ID,Categories,Distance,Latitude,Longitude,Address,City,Name,Rating
mI8NkQYtv5L3ldY-mi48kg,Pizza,889.2100672708161,43.24771,-79.82858,"1150 King Street E, Hamilton, ON L8M 1E8, Canada",Hamilton,Hi-Line Centre Pizza & Wings,2.5
I86hMjhOArFidpLX_-RSZw,Pizza,1307.2602121173436,43.23971,-79.80602,"1491 Main Street E, Hamilton, ON L8K 1C9, Canada",Hamilton,Aceti Pizzaria,3.0
FyQ1HLihts9PU-eIhLXbSQ,"Burgers, Fast Food",905.6237786861606,43.2498173,-79.8081514,"1275 Barton Street E, Hamilton, ON L8H 2V4, Canada",Hamilton,A&W,5.0
yUmEBt_NayUxGhKBnH094Q,"Sports Bars, Breakfast & Brunch, American",751.9993535977756,43.2414193674455,-79.81417607452514,"1305 Main Street E, Hamilton, ON L8K 1B3, Canada",Hamilton,The End Zone Bar & Grill,2.0
GzL3w4gqMQdhXC8ycXgrBA,"Italian, Sandwiches, Salad",968.0996771312298,43.24855,-79.80613,"272 Kenilworth Avenue N, Hamilton, ON L8H 4S9, Canada",Hamilton,The Parm House,3.5
vzj0V0ISqSiWH8Zca-j5yw,"Chicken Wings, Fast Food",905.6237786861606,43.2498173,-79.8081514,"1275 Barton St E, Hamilton, ON L8H 2V4, Canada",Hamilton,Popeyes Louisiana Kitchen,5.0
yxD4xIp0PIeijk3rnPTADg,Cantonese,890.1863176730757,43.24604,-79.80721,"190 Kenilworth Avenue N, Hamilton, ON L8H 4S2, Canada",Hamilton,Great Wall Restaurant,2.5
BTrJhzq3xZtLT1BBNCIkMw,"Coffee & Tea, Donuts, Sandwiches",894.0970656811985,43.24401,-79.80807,"136 Kenilworth Ave N, Hamilton, ON L8H 4R8, Canada",Hamilton,Tim Hortons,2.5
cfXp2fVtCUu7wwhDUo7ObQ,Mediterranean,995.1145291187286,43.2494091,-79.8063419,"1317 Barton Street E, Hamilton, ON L8H 2V4, Canada",Hamilton,Osmow's,2.5
CT9EUVzRCdKt788x8Y7Drw,"Fast Food, Burgers, Coffee & Tea",693.8160357140492,43.2445288,-79.8255335275718,"1268 King Street East, Hamilton, ON L8N 1G8, Canada",Hamilton,McDonald's,1.0
4OFO3wGF_7JzRuXKMUF75Q,Pizza,1018.8307901228824,43.2403199,-79.8105,"1388 Main Street E, Hamilton, ON L8K 1C1, Canada",Hamilton,Original Pizza,4.0
XZ64BQvUIDt-vS2XZsJesg,"Pizza, Chicken Wings, Sandwiches",1159.45263889866,43.23977,-79.808572,"1440 Main Street E, Unit 2, Hamilton, ON L8K 6M3, Canada",Hamilton,Domino's Pizza,3.0
_jAv0nzY41m-M7rZEwY7fQ,"Fast Food, Mexican",905.6237786861606,43.2498173,-79.8081514,"1275 Barton St E, Hamilton, ON L8H 2V4, Canada",Hamilton,BarBurrito - Hamilton,3.5
0Wnjw3NBomRUvnjNXYmrHw,"Mexican, Food Trucks",934.4080739628306,43.24752,-79.82975,"Hamilton, ON L8M 3C3, Canada",Hamilton,The Taco Station,3.0
R6MTdIRxemyNIxsg82qjAQ,Polish,869.6641706546485,43.24837,-79.82871,"1145 King Street E, Hamilton, ON L8K 1C3, Canada",Hamilton,Taste of Poland,5.0
